knr,aar,knavn,pm2,Menn_ya_p,Kvinner_ya_p,Total_ya_p,inc_k1,inc_k5,uni_k_mf,uni_k_m,uni_k_f,uni_l_mf,uni_l_m,uni_l_f,Trade_p
0101,2008,Halden,13427,59.748923959827835,56.79762577727529,58.262138687170726,24.5,13.600000000000001,17.8,15.1,20.4,3.9,5.4,2.4,56266
0101,2009,Halden,13095,59.77859778597786,57.046932922990834,58.402902532671106,24.4,14.100000000000001,18.2,15.4,20.9,3.9,5.4,2.5,56366
0101,2010,Halden,13832,59.64298214910746,57.06300462355946,58.343758687795386,23.9,13.700000000000001,18.6,15.6,21.6,4.1,5.5,2.7,57210
0101,2011,Halden,14915,59.84630163304515,57.22381537621194,58.531827515400416,24,14,19,15.8,22.2,4.4,5.8,3,58010
0101,2012,Halden,15473,59.45121951219512,57.00466752350673,58.226991165419896,23.9,14,19.6,16.2,22.9,4.6,5.9,3.3,58787
0101,2013,Halden,15461,58.97797475154445,56.73872431278356,57.85475234270415,24.1,13.399999999999999,19.9,16.4,23.3,4.6,5.8,3.4,59453
0101,2014,Halden,17164,58.760143674338174,56.729368128228906,57.742599230054424,23.9,13.5,20.6,17,24,4.9,6.1,3.8,63033
0101,2015,Halden,17427,58.714568226763355,56.84786911202006,57.78158797151147,24,13.700000000000001,21,17.2,24.8,5.2,6.4,4.1,63747
0101,2016,Halden,18941,58.68940284855613,56.64129150807192,57.66762702985856,24,13.8,21.4,17.4,25.4,5.4,6.5,4.4,65624
0101,2017,Halden,20143,58.94138176177858,56.851863942025204,57.901916206560564,23.7,14,21.6,17.5,25.7,5.6,6.5,4.7,65919
0104,2008,Moss,18299,60.69850620660635,58.67422708248954,59.66704502459327,22.8,16.2,19.1,16.6,21.4,5.5,7.1,4,69916
0104,2009,Moss,18338,60.69288518493009,58.922290795673234,59.791131539813435,23.299999999999997,16,19.2,16.6,21.6,5.6,7.3,4.1,69933
0104,2010,Moss,18795,60.414971521562244,58.51982724774244,59.45054945054945,22.7,15.9,19.4,16.9,21.8,5.9,7.5,4.5,68390
0104,2011,Moss,20213,60.18090452261306,58.20730117340287,59.180571617379805,22.8,15.8,19.8,17.2,22.2,6.1,7.5,4.7,70540
0104,2012,Moss,21198,59.76905311778291,57.89439876670093,58.81912573641897,22.6,15.600000000000001,20.2,17.6,22.6,6.3,7.6,5.1,72721
0104,2013,Moss,21799,59.607229072877935,57.55698869803971,58.57105976507035,23.200000000000003,15.299999999999999,20.5,17.7,23.1,6.6,7.7,5.5,72253
0104,2014,Moss,23750,59.24182837985945,57.14376147369754,58.18321195860483,23.4,15.3,20.9,18,23.6,7.2,8.2,6.1,73458
0104,2015,Moss,24716,59.05087752645252,57.13839815219427,58.087541664046284,23.200000000000003,15.8,21.2,18.1,24.2,7.7,8.7,6.6,78458
0104,2016,Moss,27254,58.825,56.66172290198986,57.7372444223479,22.7,15.9,21.6,18.4,24.7,8,9,7,77168
0104,2017,Moss,28299,58.70686975442959,56.64134297267491,57.66655352238714,22.9,15.9,21.8,18.5,25.1,8.3,9.2,7.4,77498
0105,2008,Sarpsborg,14981,60.898548437993064,58.06388856464729,59.471529586899884,22.2,13.600000000000001,16.3,13.7,18.9,2.8,3.9,1.7,63674
0105,2009,Sarpsborg,14214,60.69314641744549,57.86583726913182,59.2695705972198,22.5,13.3,16.6,13.9,19.2,2.9,3.9,1.8,62126
0105,2010,Sarpsborg,14870,60.06790385431536,57.55716463414634,58.80480837439368,22.3,13.100000000000001,17,14.1,19.8,2.9,4,1.9,61733
0105,2011,Sarpsborg,15634,59.79895670715455,57.282797076331846,58.53422971309536,22.4,13.2,17.2,14.2,20.2,3,4,2.1,62153
0105,2012,Sarpsborg,16536,59.55957086391869,56.90002988643156,58.22473890461816,22.799999999999997,13,17.7,14.6,20.8,3.1,4,2.3,63121
0105,2013,Sarpsborg,17540,59.217355587916806,56.78989411109047,58.00059594755661,23.5,12.7,18.1,14.8,21.3,3.2,4,2.4,61670
0105,2014,Sarpsborg,17896,59.33935272916434,56.63817873719885,57.982944560572705,23,13,18.5,15.1,21.9,3.5,4.2,2.8,65438
0105,2015,Sarpsborg,19136,59.07558979297063,56.54076716560626,57.803734868615294,23,13.5,19,15.5,22.5,3.8,4.5,3.2,67496
0105,2016,Sarpsborg,20919,59.151572926596764,56.5391913589257,57.84227660119243,22.8,13.8,19.4,15.6,23.2,4,4.7,3.3,69291
0105,2017,Sarpsborg,21372,58.86220801394993,56.61594202898551,57.7375877519183,22.8,14,19.9,15.9,23.7,4.2,4.8,3.6,69540
0106,2008,Fredrikstad,15671,59.810908264955565,57.82070466603183,58.79459819939979,21.8,16.200000000000003,19,16.2,21.5,4.3,5.8,2.9,69040
0106,2009,Fredrikstad,15043,59.840425531914896,57.87257019438445,58.838647608576146,21.9,16.2,19.4,16.5,22,4.5,6,3.2,68097
0106,2010,Fredrikstad,16092,59.70491531511618,57.74335692348779,58.707460821858284,21.9,15.9,19.8,16.7,22.6,4.7,6,3.4,69244
0106,2011,Fredrikstad,16750,59.47219347459012,57.89070547529119,58.66933050858821,22,16.1,20.2,16.9,23.3,4.9,6.2,3.7,69560
0106,2012,Fredrikstad,17591,59.42950241713629,57.78144827224582,58.59783284601035,22,16.1,20.5,17.2,23.7,5.2,6.4,4,71186
0106,2013,Fredrikstad,18470,59.51350074785484,57.682567574551655,58.59101383988439,22.4,15.6,20.9,17.4,24.2,5.3,6.4,4.2,73291
0106,2014,Fredrikstad,18746,59.64146531566641,57.64814199125342,58.63695531698264,22.5,15.7,21.3,17.7,24.8,5.7,6.7,4.6,76861
0106,2015,Fredrikstad,20769,59.42197127903679,57.52819262419994,58.46799472869407,21.9,16.1,21.6,17.7,25.3,6,6.9,5.1,76711
0106,2016,Fredrikstad,22404,59.33224423116194,57.63614887788696,58.47759190547951,22.1,16.7,22.2,18.2,26,6.1,7,5.3,77905
0106,2017,Fredrikstad,23918,59.41592653921421,57.837220276680824,58.62258334269418,22.1,16.7,22.6,18.6,26.6,6.3,7.1,5.6,80019
0111,2008,Hvaler,18844,61.672473867595826,61.270491803278695,61.474375157788444,17.8,19,18.3,14.6,22.1,4.7,6.3,3.1,75027
0111,2009,Hvaler,21060,61.46607231302625,61.44517433046993,61.45572786393196,16.9,18.8,18.5,14.3,22.7,4.6,6.2,3,74539
0111,2010,Hvaler,21325,60.15399422521656,60.88689586447435,60.514075887392906,16.6,18.700000000000003,19.1,15,23.3,4.9,6.5,3.2,72445
0111,2011,Hvaler,21979,59.4059405940594,60.421775380088285,59.90384615384615,16.9,19.1,20.4,15.9,24.8,5.3,6.9,3.6,72496
0111,2012,Hvaler,20469,58.568738229755176,59.94236311239193,59.24869234427009,16.200000000000003,19.9,20.4,15.7,25.1,6,7.6,4.3,73858
0111,2013,Hvaler,21658,57.81902552204177,58.994833255049315,58.40336134453782,16.4,20,20.6,15.9,25.3,6.1,7.7,4.5,75379
0111,2014,Hvaler,20148,57.149300857013984,58.6906408483172,57.91153670770633,16.5,19.4,21.1,16.4,25.7,6.3,7.6,5.1,80361
0111,2015,Hvaler,26621,56.03907637655418,58.66247755834829,57.34375000000001,16.6,19.8,21.3,16.4,26.2,6.6,7.8,5.3,79161
0111,2016,Hvaler,27511,55.64373897707231,58.00267498885421,56.81667036133895,16.2,20.3,21.7,17.1,26.3,7,8.1,6,82000
0111,2017,Hvaler,28848,55.03502626970228,57.14285714285714,56.07704228470224,15.8,21.1,21.9,16.9,27,7.1,8.1,6,96079
0119,2008,Marker,11058,58.17555938037866,55.11627906976744,56.656078544614495,22.8,12.8,12.8,9.4,16.2,2,2.6,1.4,42371
0119,2009,Marker,11132,58.752166377816295,54.582366589327144,56.67149059334298,23.3,12.5,13,9.5,16.4,2,2.7,1.4,43524
0119,2010,Marker,9634,58.156840297653126,55.51044083526682,56.842408527801794,23.200000000000003,13.4,13.1,9.5,16.7,2.2,2.6,1.9,41048
0119,2011,Marker,11552,58.12356979405035,54.513888888888886,56.32911392405063,23.9,12.6,13.1,9.3,16.9,2.6,3.1,2,42913
0119,2012,Marker,10809,57.52658086177952,55.11265164644714,56.338828880045476,22.200000000000003,12.600000000000001,13.8,9.6,17.9,2.6,3.1,2.1,39581
0119,2013,Marker,11745,56.82068206820682,54.21141888072357,55.533872316699195,23.4,13.3,14.5,10,19,2.6,3,2.3,38128
0119,2014,Marker,11899,56.41873278236914,54.519932622122404,55.47830923248054,22.7,13.1,15.4,11.2,19.6,2.7,3,2.4,40783
0119,2015,Marker,13980,55.50684931506849,53.74720357941835,54.63603653473568,22.4,13.1,15.1,10.4,19.9,2.9,3.4,2.5,40354
0119,2016,Marker,14965,55.55555555555556,53.607666290868096,54.59833795013851,23.6,13.6,15.2,10.9,19.7,3.3,3.3,3.2,41960
0119,2017,Marker,16157,55.83921781640413,53.13211845102506,54.5176536002224,23.7,14.399999999999999,15.3,10.7,20,3.6,3.9,3.4,43182
0122,2008,Trøgstad,10751,61.63346613545817,57.5721629102412,59.59515776939869,21.6,15.7,13.3,9.3,17.2,2,2.3,1.7,39404
0122,2009,Trøgstad,10328,61.67522718293165,58.18759936406995,59.936595997622355,21.7,14.200000000000001,13.5,9.2,17.8,1.8,2,1.6,35833
0122,2010,Trøgstad,11192,61.7096018735363,57.865612648221344,59.79968578161823,21.299999999999997,14.6,13.8,9.5,18.1,2,2.2,1.7,37691
0122,2011,Trøgstad,11030,61.83500385505012,57.06436420722135,59.47102294826916,21.1,14.6,13.9,9.7,18.2,2.1,2.3,1.9,37259
0122,2012,Trøgstad,11252,60.392304790645035,56.7367601246106,58.593600306572135,21,14.200000000000001,13.9,9.4,18.6,2.2,2.4,1.9,36541
0122,2013,Trøgstad,11878,59.87449243263197,56.084243369734786,58.031481130286366,21.9,14,14.2,9.5,19,2.1,2.3,2,35540
0122,2014,Trøgstad,12367,59.461426491994175,56.340718105423996,57.938874394334704,22.3,14.7,14.4,10,19,2.5,2.4,2.6,37499
0122,2015,Trøgstad,12901,59.515062454077885,56.21189024390244,57.89375233819678,21.2,15.299999999999999,15.1,10.7,19.6,2.7,2.6,2.8,36841
0122,2016,Trøgstad,14331,59.613279824881424,55.95695618754804,57.832678270634474,21.4,15.3,15.4,10.9,20.1,2.8,2.6,3.1,43035
0122,2017,Trøgstad,16731,59.774709302325576,56.022944550669216,57.94671138438606,22.3,15.299999999999999,15.9,11.1,20.9,3.2,2.8,3.6,38260
0123,2008,Spydeberg,14897,60.15779092702169,58.62884160756501,59.39286418292923,17,19,14.8,12.3,17.2,3.5,4.4,2.7,66690
0123,2009,Spydeberg,14552,59.81344733773805,58.174757281553404,58.993783993784,17.299999999999997,19.2,15.6,12.8,18.3,3.6,4.4,2.8,59657
0123,2010,Spydeberg,15150,59.4140625,57.92098197161488,58.66073156570544,17,18.5,16.2,13.2,19.1,3.9,4.7,3.1,64879
0123,2011,Spydeberg,17318,59.59402527767139,58.02562170308968,58.80341880341881,17.1,18.5,16.7,13.9,19.2,3.9,4.6,3.3,62370
0123,2012,Spydeberg,16779,58.11773528308961,57.702349869451695,57.909498878085266,18.7,18.4,17.1,14.3,19.8,4.2,4.8,3.7,59125
0123,2013,Spydeberg,18661,58.18181818181818,57.452276064610864,57.818779685787355,18.5,17.8,16.9,13.6,20.1,4.3,4.9,3.6,57143
0123,2014,Spydeberg,19767,58.112407211028625,56.861340021497675,57.49110320284697,18.4,17.7,17.1,13.2,20.9,4.9,5.2,4.6,58532
0123,2015,Spydeberg,20652,56.65623913799096,57.05150976909413,56.85172171468727,19.2,18.2,17.5,13.4,21.8,5.1,5.6,4.6,57176
0123,2016,Spydeberg,22015,57.08432912256743,56.323477021731385,56.71199442119944,18.8,18.2,18,14.1,21.9,5.4,5.8,5,55390
0123,2017,Spydeberg,23320,57.35797399041752,56.032360182905386,56.70424978317433,17.9,18.799999999999997,18.4,14.4,22.5,5.7,5.9,5.6,55929
0124,2008,Askim,13685,60.89887640449439,58.541893362350386,59.70149253731343,20.9,15.2,15.1,13.5,16.7,3.3,4.5,2,61200
0124,2009,Askim,13700,61.189488243430155,58.758196172889065,59.953750935183294,20.700000000000003,14.9,15.2,13.7,16.7,3.3,4.5,2.1,60757
0124,2010,Askim,13925,60.96634093376765,58.73799359658485,59.84257265877287,20.8,14.8,15.4,13.7,17,3.3,4.4,2.3,59093
0124,2011,Askim,15309,60.72347920335998,58.54144527098831,59.62170501039641,20.9,14.7,15.6,13.6,17.6,3.5,4.5,2.5,60595
0124,2012,Askim,14979,60.202450719232814,58.05218766473379,59.12162162162162,20.6,14.200000000000001,15.7,13.4,17.9,3.5,4.5,2.6,60880
0124,2013,Askim,15614,60.279020794946035,58.0536477905922,59.157688540646426,21.5,14.3,16,13.5,18.3,3.7,4.7,2.8,62616
0124,2014,Askim,17248,59.866614358571994,58.07529230373893,58.96305897602075,20.5,14.4,16.5,13.6,19.2,4,4.9,3,66310
0124,2015,Askim,17444,58.68805796351404,57.97790339157246,58.331721781731446,20.8,14.4,16.8,13.8,19.7,4.1,4.8,3.3,67747
0124,2016,Askim,19064,58.08700141990448,57.70208439247585,57.89305155299391,20.799999999999997,14.7,17.2,14.2,20.1,4.3,4.9,3.7,77536
0124,2017,Askim,21902,57.88057406458227,57.56695300656898,57.722646310432566,20.9,14.6,17.5,14.4,20.5,4.3,5,3.7,73460
0125,2008,Eidsberg,11738,59.24216195422196,57.40112994350282,58.31192311352174,22.2,14.6,13.9,10.8,17,2.7,3.6,1.8,77288
0125,2009,Eidsberg,12129,59.23687193048735,57.7399667098206,58.48051583964116,22.8,13.3,14.4,11.1,17.6,2.7,3.6,1.8,75626
0125,2010,Eidsberg,11904,59.34475055845123,57.18480455129381,58.257092690139544,23.6,13.1,14.7,11.3,17.8,2.7,3.5,1.9,74728
0125,2011,Eidsberg,12231,59.258579555881816,57.0752139865234,58.16270566727605,23.2,12.8,14.9,11.4,18.2,2.8,3.6,2.1,72706
0125,2012,Eidsberg,13013,58.89111800109429,56.2702120014373,57.57082088876822,23.299999999999997,12.3,15.6,12.2,18.8,3,3.8,2.3,73713
0125,2013,Eidsberg,13344,58.923462088698145,56.57683383901482,57.748995087092446,23.4,12,15.9,12.3,19.4,3.1,3.8,2.5,73374
0125,2014,Eidsberg,14034,58.73296761635108,56.92877291960507,57.829197209220176,22.7,12.399999999999999,16.5,12.9,20.1,3.6,4.1,3,74888
0125,2015,Eidsberg,14875,58.30109039746746,56.3613905064408,57.33286356029244,23.2,12.8,16.9,12.8,20.9,3.8,4.2,3.4,74425
0125,2016,Eidsberg,17699,58.39581517000872,56.368132838721074,57.388557388557395,23.5,12.8,16.8,12.4,21.2,3.8,4.3,3.3,77436
0125,2017,Eidsberg,17434,58.954316484280014,56.85962117188883,57.91688584955287,23.3,12.7,17.1,12.7,21.5,4,4.2,3.7,78587
0127,2008,Skiptvet,12657,59.95562950637826,56.736353077816496,58.38297872340426,18.6,15,13,10.2,15.9,1.5,1.6,1.4,17937
0127,2009,Skiptvet,11802,60.41902604756512,56.83661645422943,58.6483390607102,18.1,15.5,13,10,16.1,1.6,1.5,1.6,17532
0127,2010,Skiptvet,13247,60.29082774049217,56.47461494580719,58.40158147415985,17.8,16.1,13.3,10.6,16.1,1.6,1.7,1.6,19382
